UNITID,EFTOTLT,EFBKAAT,EFHISPT,EFWHITT,EFNRALT,RET_PCF,RET_PCP,STUFACR,low_retention,risk_score
109934,341,33,228,27,0,77,NA,13,0,0.38254735630704584
110060,263,29,62,16,114,45,0,7,1,0.3327202133373635
110097,5434,190,1081,2060,539,84,75,15,0,0.22034250019943477
110194,307,9,224,47,0,91,NA,22,0,0.41058112087345566
110246,10968,280,3768,5182,84,68,42,21,1,0.3331409916973572
110334,9457,78,4723,3583,54,73,55,20,0,0.3518689270837203
110361,11902,982,5204,3304,330,74,38,21,0,0.33737552926571424
110370,1308,47,189,254,458,87,100,8,0,0.24566420685111856
110404,2430,68,277,560,810,97,NA,3,0,0.16163351242298732
110413,3351,131,1377,1179,230,79,NA,13,0,0.3146288165350246
110422,23069,173,5773,11027,218,96,60,19,0,0.16417605862328122
110486,10419,439,7074,1379,129,79,62,20,0,0.3767022765037624
110495,9724,264,6008,1719,64,82,37,18,0,0.3578419769734991
110510,18492,1012,12792,1884,539,80,47,22,0,0.3140370556733757
110529,27636,680,14906,3599,585,87,64,25,0,0.15700927999242031
110538,15257,453,5768,6279,319,82,46,23,0,0.2724977765598073
110547,15182,1867,10095,812,376,74,36,21,0,0.44336407147836177
110556,24427,720,15002,3765,696,82,43,22,0,0.20245160319701297
110565,43662,1114,23693,6184,1002,82,59,26,0,0.07977319844359056
110574,12326,1105,4589,2014,863,76,68,22,0,0.1956375640631709
110583,42003,1668,21521,6272,1527,87,62,23,0,0.05641419069932374
110592,23163,1000,17299,1120,468,72,43,21,0,0.3163192020280052
110608,38313,1996,21049,7068,1632,73,56,25,0,0.09666390711177567
110617,31943,2134,11912,7555,724,82,53,24,0,0.16050948614523866
110635,45882,1152,8581,10075,7266,97,81,18,0,1.5938490521044324e-5
110644,40065,829,9262,8954,5985,93,83,22,0,1.1143353524012832e-4
110653,37297,816,9146,5513,5850,94,68,19,0,1.22728966051687e-4
110662,47335,1730,10220,11678,6352,97,83,20,0,7.005039844304736e-5
110671,26384,931,9697,3087,2326,88,54,22,0,0.01781127423442561
110680,44256,739,10133,7847,8029,94,84,19,0,7.279340559565625e-6
110705,26133,560,6652,8340,3111,93,41,17,0,0.006878915344058225
110714,19938,409,5415,6133,1187,88,31,22,0,0.07010176245737143
110875,122,7,62,45,0,97,NA,14,0,0.3841002325287489
111054,98,5,27,43,0,88,NA,14,0,0.3833678214175116
111081,1277,80,190,394,387,82,0,7,0,0.26369072079220934
111188,837,32,182,394,3,77,100,11,0,0.36708647600349054
111434,6625,155,2992,1512,181,69,35,27,1,0.33521570631013736
111461,18075,1014,9215,4701,106,70,27,25,0,0.38535188859444236
111513,219,15,135,46,0,88,83,19,0,0.4010617459654502
111708,223,32,98,27,0,97,NA,19,0,0.4014187538192666
111717,266,9,226,14,0,84,NA,20,0,0.4044857052274398
111726,130,0,127,2,0,79,NA,13,0,0.3808870432502911
111744,162,7,134,15,0,85,NA,20,0,0.4043640673618405
111762,142,1,138,1,0,69,NA,24,1,0.41738246026469783
111799,171,1,168,1,0,84,NA,21,0,0.40746611319762027
111887,21859,1384,14898,2516,58,67,44,26,1,0.47331346325522866
111896,5549,321,2645,1936,5,27,15,24,1,0.41967364633956117
111920,12842,1168,5768,1849,84,70,41,24,0,0.38602374784829063
111939,22460,1430,14463,2826,87,69,47,25,1,0.4415695471427241
111948,9760,229,1902,4171,460,92,60,12,0,0.19158548156492677
111966,852,308,137,62,0,50,67,4,1,0.37014178168180656
112075,3658,202,1127,1648,103,75,NA,13,0,0.3455720371699157
112084,96,15,26,35,1,86,NA,9,0,0.36803737595312686
112172,10429,366,6851,1518,166,70,43,24,0,0.36708693772499446
112181,114,3,24,74,0,95,100,14,0,0.38324209144041355
112190,19267,1400,5276,4529,314,70,41,24,0,0.2286717559680257
112260,1393,57,206,499,208,98,NA,8,0,0.3009345841936467
112288,635,18,495,81,0,92,NA,12,0,0.37856912054776604
112367,238,8,146,34,0,100,100,10,0,0.3702670030552251
112385,9008,834,3004,2406,175,43,30,39,1,0.4086979713090231
112394,477,65,122,137,0,69,50,13,1,0.38143795178424617
112455,109,7,88,7,0,63,NA,13,1,0.38122640140873476
112561,2828,84,702,1703,54,58,30,21,1,0.3804084773771179
112570,71,12,3,28,0,25,25,7,1,0.3613490412016839
112686,5225,1367,3228,85,0,50,26,17,1,0.5215348412927446
112826,6538,895,3159,745,124,72,38,22,0,0.4158449302867816
113096,15744,1349,4641,3344,40,74,42,29,0,0.3450429648177546
113193,11283,204,4008,5338,21,73,39,27,0,0.3593243902825712
113218,8905,366,3078,4157,15,72,43,28,0,0.398676878936448
113333,17425,471,4520,3567,1318,76,33,28,0,0.06558465686959833
113449,132,7,82,36,0,85,NA,25,0,0.4207461697308626
113573,12861,306,9509,1891,69,70,44,26,0,0.41291069613909803
113582,94,6,17,41,5,0,NA,8,1,0.3626662460904214
113616,52,0,4,10,30,86,NA,5,0,0.3466751054011242
113634,17228,1154,5373,4879,606,76,49,25,0,0.21018699709934488
113698,1900,100,513,466,50,85,100,8,0,0.33580177003835837
113856,33677,2042,22106,3863,195,65,31,33,1,0.4552005733747739
113980,21664,2560,9611,2475,340,73,32,28,0,0.38527581763812213
114266,9336,255,4013,1094,56,73,29,27,0,0.32098473519895876
114433,2055,183,824,706,24,60,0,17,1,0.39188052490755054
114460,220,20,107,58,0,96,86,15,0,0.387819441017365
114637,43,2,13,9,0,100,NA,20,0,0.4031746128554341
114761,69,5,15,34,0,90,NA,17,0,0.39348275984079883
114813,2879,127,1745,626,68,72,50,10,0,0.35530518886373114
114859,19521,568,11917,2793,180,72,41,25,0,0.31571596224134973
114938,6083,143,3894,1179,8,69,39,27,1,0.4139643158237982
115001,12075,304,3173,7023,198,73,40,28,0,0.3209041952192746
115010,896,59,282,190,0,90,NA,21,0,0.4006779586720505
115126,10721,183,3646,2466,253,70,35,29,0,0.2572259642382044
115296,14440,700,5424,5509,205,71,49,24,0,0.3237410985528049
115357,164,23,111,22,1,88,100,15,0,0.388972377367039
115393,11273,220,8602,1524,0,73,38,22,0,0.41573874461163285
115409,951,49,204,227,101,96,NA,8,0,0.33042343867292584
115658,77,4,46,2,0,75,100,15,0,0.3868388674974414
115755,6237,155,1776,3202,23,76,39,16,0,0.347603221985814
115773,699,49,163,107,288,100,NA,5,0,0.2837657600221627
115861,8873,102,7671,755,1,76,55,31,0,0.4560283686870391
115931,765,37,523,79,0,79,NA,40,0,0.4720101755016219
116439,13018,307,3316,3434,604,79,44,31,0,0.17105067422137865
116563,157,16,52,67,0,100,NA,11,0,0.3745920255450985
117052,8796,177,6633,1215,5,64,42,23,1,0.41523445010128435
117104,621,39,246,217,10,73,100,12,0,0.37407454197642914
117140,5021,399,2982,864,209,64,33,10,1,0.33728438550287604
117168,775,13,183,310,39,84,NA,9,0,0.34984218816155443
117195,4040,212,1215,1637,18,44,26,25,1,0.3970473071258443
